MODEL	QUERY	N	SCORE
SingleRank	1	10000	0.6842105263157895
SingleRank	2	1	0.0
SingleRank	2	10	0.0
SingleRank	2	100	0.4
SingleRank	2	1000	0.7
SingleRank	2	10000	0.9
SingleRank	4	1	0.0
SingleRank	4	10	0.375
SingleRank	4	100	0.5
SingleRank	4	1000	0.875
SingleRank	4	10000	0.875
SingleRank	5	1	0.0
SingleRank	5	10	0.019230769230769232
SingleRank	5	100	0.038461538461538464
SingleRank	5	1000	0.36538461538461536
SingleRank	5	10000	0.7692307692307693
TFIDF	3	1	0.0
TFIDF	3	10	0.125
TFIDF	3	100	0.25
TFIDF	3	1000	0.375
TFIDF	3	10000	1.0
TFIDF	1	1	0.05263157894736842
TFIDF	1	10	0.05263157894736842
TFIDF	1	100	0.05263157894736842
TFIDF	1	1000	0.2631578947368421
TFIDF	1	10000	0.631578947368421
TFIDF	2	1	0.0
TFIDF	2	10	0.1
TFIDF	2	100	0.5
TFIDF	2	1000	0.7
TFIDF	2	10000	0.7
TFIDF	4	1	0.125
TFIDF	4	10	0.25
TFIDF	4	100	0.625
TFIDF	4	1000	0.75
TFIDF	4	10000	0.875
TFIDF	5	1	0.0
TFIDF	5	10	0.038461538461538464
TFIDF	5	100	0.11538461538461539
TFIDF	5	1000	0.4230769230769231
TFIDF	5	10000	0.6730769230769231
TextRank	3	1	0.0
TextRank	3	10	0.0
TextRank	3	100	0.0
TextRank	3	1000	0.375
TextRank	3	10000	0.875
TextRank	1	1	0.0
TextRank	1	10	0.0
TextRank	1	100	0.05263157894736842
TextRank	1	1000	0.21052631578947367
TextRank	1	10000	0.5789473684210527
TextRank	2	1	0.0
TextRank	2	10	0.0
TextRank	2	100	0.0
TextRank	2	1000	0.1
TextRank	2	10000	0.3
TextRank	4	1	0.125
TextRank	4	10	0.375
TextRank	4	100	0.625
TextRank	4	1000	0.875
TextRank	4	10000	0.875
TextRank	5	1	0.019230769230769232
TextRank	5	10	0.019230769230769232
TextRank	5	100	0.057692307692307696
TextRank	5	1000	0.3269230769230769
TextRank	5	10000	0.8076923076923077
TopicalRank	3	1	0.125
TopicalRank	3	10	0.125
TopicalRank	3	100	0.125
TopicalRank	3	1000	0.625
TopicalRank	3	10000	1.0
TopicalRank	1	1	0.0
TopicalRank	1	10	0.05263157894736842
TopicalRank	1	100	0.21052631578947367
TopicalRank	1	1000	0.2631578947368421
TopicalRank	1	10000	0.5789473684210527
TopicalRank	2	1	0.0
TopicalRank	2	10	0.0
TopicalRank	2	100	0.4
TopicalRank	2	1000	0.4
TopicalRank	2	10000	0.9
TopicalRank	4	1	0.125
TopicalRank	4	10	0.375
TopicalRank	4	100	0.5
TopicalRank	4	1000	0.875
TopicalRank	4	10000	0.875
TopicalRank	5	1	0.0
TopicalRank	5	10	0.019230769230769232
TopicalRank	5	100	0.057692307692307696
TopicalRank	5	1000	0.34615384615384615
TopicalRank	5	10000	0.7692307692307693
YAKE	3	1	0.125
YAKE	3	10	0.125
YAKE	3	100	0.125
YAKE	3	1000	0.5
YAKE	3	10000	1.0
YAKE	1	1	0.0
YAKE	1	10	0.05263157894736842
YAKE	1	100	0.05263157894736842
YAKE	1	1000	0.10526315789473684
YAKE	1	10000	0.631578947368421
YAKE	2	1	0.0
YAKE	2	10	0.1
YAKE	2	100	0.1
YAKE	2	1000	0.2
YAKE	2	10000	0.4
YAKE	4	1	0.0
YAKE	4	10	0.125
YAKE	4	100	0.5
YAKE	4	1000	0.75
YAKE	4	10000	0.875
YAKE	5	1	0.019230769230769232
YAKE	5	10	0.038461538461538464
YAKE	5	100	0.2692307692307692
YAKE	5	1000	0.4807692307692308
YAKE	5	10000	0.75
KPMINER	3	1	0.0
KPMINER	3	10	0.125
KPMINER	3	100	0.25
KPMINER	3	1000	0.5
KPMINER	3	10000	0.75
